ID,Customer Age,Churn,CHI Score,CHI Score,Support Cases,Support,SP,SP,Logins,Blog Articles,Views,Days
1,67,-,0,0,0,0,0,0,0,0,0,31
2,67,-,62,4,0,0,0,0,0,0,16,31
3,55,-,0,0,0,0,0,0,0,0,0,31
4,63,-,231,1,1,1,3,0,167,8,21996,0
5,57,-,43,1,0,0,0,0,0,0,9,31
6,58,-,138,10,0,0,0,0,43,0,33,0
7,57,-,180,5,1,1,3,3,13,1,907,0
8,46,-,116,11,0,0,0,0,0,0,38,6
9,56,-,78,7,1,2,3,0,9,1,0,7
10,56,-,78,37,0,0,0,0,7,0,30,14
11,53,-,91,1,0,0,0,0,14,3,0,0
12,56,-,40,14,0,0,0,0,0,0,15,31
13,57,-,215,15,0,0,0,0,71,9,8658,0
14,57,-,0,0,0,0,0,0,0,0,0,31
15,55,-,118,63,0,0,0,0,5,1,995,0
16,56,-,59,16,0,0,0,0,0,0,4,31
17,52,-,67,25,0,0,0,0,4,0,77,31
18,55,-,0,0,0,0,0,0,0,0,2,31
19,54,-,258,4,1,0,3,0,34,6,149,0
20,54,-,89,12,1,1,3,3,41,8,29,0
21,54,-,0,0,0,0,0,0,0,0,0,31
22,54,-,142,1,0,0,0,0,26,1,4,13
23,53,-,86,10,0,0,0,0,2,0,53,31
24,53,-,100,5,0,1,0,3,0,0,8,2
25,53,-,103,12,0,0,0,0,6,1,40,1
26,46,-,75,0,0,0,0,0,0,0,10,30
27,53,-,182,8,8,6,3,0.5,38,1,671,0
28,53,-,230,0,0,0,0,0,84,3,13043,0
29,52,-,179,22,2,1,3,0,10,2,5,1
30,53,-,48,10,0,0,0,0,15,0,12,18
31,52,-,99,6,0,0,0,0,8,0,23,31
32,32,-,67,28,0,0,0,0,0,0,0,31
33,52,-,160,10,3,3,3,3,12,0,481,4
34,52,-,91,50,4,1,3,0,26,0,0,11
35,52,-,105,1,0,0,0,0,14,1,0,0
36,52,-,93,29,0,0,0,0,7,1,4682,0
37,51,-,143,32,4,1,2.5,0.2,61,1,67,0
38,50,-,108,40,1,1,3,3,43,0,16,0
