index,Target,RandomForestClassifier,AdaBoostClassifier,GradientBoostingClassifier,LogisticRegression,KNeighborsClassifier,GaussianNB
127,1.0,0.74,0.51,0.96,0.84,0.7,1.0
244,0.0,0.04,0.46,0.0,0.0,0.1,0.0
388,0.0,0.07,0.48,0.02,0.07,0.3,0.15
973,0.0,0.07,0.48,0.0,0.02,0.0,0.15
1025,0.0,0.17,0.49,0.07,0.05,0.1,0.51
885,0.0,0.1,0.49,0.03,0.08,0.0,0.81
1109,0.0,0.09,0.49,0.04,0.21,0.2,0.83
1143,0.0,0.18,0.49,0.47,0.39,0.0,0.16
625,0.0,0.14,0.5,0.14,0.15,0.2,0.36
441,0.0,0.2,0.49,0.17,0.1,0.6,0.44
1056,1.0,0.2,0.33,0.16,0.26,0.2,1.0
460,0.0,0.26,0.5,0.51,0.23,0.3,0.43
358,0.0,0.13,0.48,0.02,0.02,0.2,0.01
681,0.0,0.03,0.46,0.0,0.01,0.0,0.0
207,0.0,0.18,0.5,0.35,0.34,0.2,0.96
941,0.0,0.08,0.48,0.07,0.13,0.1,0.65
746,0.0,0.17,0.46,0.0,0.0,0.1,0.0
399,0.0,0.14,0.49,0.23,0.15,0.1,0.71
553,0.0,0.35,0.49,0.21,0.15,0.2,0.94
241,0.0,0.19,0.48,0.16,0.13,0.0,0.23
630,0.0,0.21,0.49,0.05,0.1,0.0,0.01
778,0.0,0.14,0.49,0.08,0.07,0.1,0.0
613,0.0,0.11,0.47,0.01,0.07,0.0,1.0
1311,0.0,0.47,0.5,0.39,0.13,0.2,0.37
1147,0.0,0.07,0.48,0.04,0.07,0.1,0.33
1104,0.0,0.26,0.49,0.36,0.09,0.1,0.45
17,0.0,0.36,0.49,0.46,0.18,0.1,0.06
1345,0.0,0.23,0.49,0.09,0.19,0.2,0.01
1174,0.0,0.09,0.47,0.0,0.0,0.0,0.0
1234,0.0,0.17,0.49,0.16,0.13,0.2,0.27
122,1.0,0.2,0.5,0.19,0.32,0.1,0.23
1286,0.0,0.1,0.48,0.01,0.04,0.3,0.35
1224,0.0,0.18,0.49,0.29,0.06,0.3,0.7
213,0.0,0.08,0.48,0.02,0.01,0.0,0.0
338,0.0,0.1,0.32,0.02,0.02,0.0,0.08
442,0.0,0.16,0.49,0.11,0.11,0.3,0.0
490,0.0,0.25,0.49,0.18,0.09,0.2,0.84
317,1.0,0.04,0.49,0.06,0.11,0.0,0.1
575,0.0,0.14,0.5,0.28,0.17,0.0,0.0
1399,0.0,0.07,0.32,0.01,0.01,0.1,0.0
1044,0.0,0.08,0.33,0.02,0.08,0.0,0.0
882,0.0,0.12,0.5,0.17,0.26,0.0,0.0
962,0.0,0.13,0.48,0.01,0.04,0.0,0.0
99,0.0,0.1,0.49,0.05,0.07,0.2,0.01
616,0.0,0.13,0.47,0.04,0.03,0.1,0.0
1119,0.0,0.1,0.49,0.03,0.03,0.2,0.02
236,1.0,0.25,0.5,0.38,0.15,0.3,0.58
795,0.0,0.19,0.48,0.11,0.05,0.0,0.15
339,0.0,0.03,0.48,0.03,0.04,0.1,0.56
111,1.0,0.24,0.5,0.33,0.61,0.1,1.0
1180,0.0,0.28,0.5,0.2,0.2,0.3,0.86
1312,1.0,0.3,0.49,0.37,0.11,0.3,1.0
201,0.0,0.14,0.48,0.06,0.03,0.0,0.0
112,0.0,0.16,0.31,0.09,0.06,0.0,0.0
356,0.0,0.18,0.48,0.04,0.05,0.0,0.0
1124,0.0,0.15,0.49,0.05,0.01,0.1,0.02
751,0.0,0.09,0.47,0.01,0.0,0.0,0.0
577,0.0,0.15,0.49,0.07,0.17,0.0,0.26
1210,0.0,0.17,0.47,0.04,0.01,0.1,0.0
1067,0.0,0.22,0.49,0.11,0.11,0.1,0.53
392,0.0,0.08,0.47,0.03,0.01,0.2,0.0
863,0.0,0.06,0.47,0.02,0.06,0.0,1.0
742,0.0,0.16,0.5,0.21,0.06,0.1,0.5
1415,0.0,0.21,0.48,0.15,0.05,0.2,0.01
61,0.0,0.21,0.5,0.2,0.32,0.2,0.76
761,1.0,0.16,0.49,0.14,0.31,0.1,0.24
1279,1.0,0.29,0.49,0.25,0.17,0.0,0.33
991,0.0,0.27,0.49,0.23,0.31,0.1,0.95
1451,0.0,0.15,0.48,0.02,0.02,0.1,0.06
518,0.0,0.09,0.48,0.09,0.06,0.1,0.95
357,1.0,0.63,0.52,0.93,0.95,0.7,1.0
1442,1.0,0.3,0.48,0.1,0.18,0.2,0.42
774,0.0,0.1,0.48,0.06,0.03,0.1,0.0
1167,1.0,0.26,0.5,0.45,0.6,0.1,0.85
848,0.0,0.2,0.48,0.09,0.1,0.0,0.78
1294,0.0,0.12,0.49,0.05,0.14,0.2,0.01
191,0.0,0.12,0.49,0.13,0.05,0.3,0.59
917,0.0,0.31,0.5,0.27,0.41,0.2,1.0
1379,1.0,0.59,0.5,0.78,0.76,0.6,1.0
261,0.0,0.09,0.47,0.01,0.02,0.1,0.0
674,0.0,0.08,0.49,0.03,0.03,0.0,0.0
566,1.0,0.24,0.51,0.4,0.56,0.0,0.99
311,0.0,0.08,0.48,0.07,0.23,0.1,0.01
406,0.0,0.07,0.49,0.09,0.02,0.0,0.0
653,0.0,0.14,0.48,0.03,0.05,0.1,0.0
886,0.0,0.17,0.49,0.1,0.07,0.0,0.16
1362,0.0,0.05,0.48,0.02,0.06,0.0,0.0
589,1.0,0.49,0.51,0.68,0.56,0.1,0.97
1036,1.0,0.3,0.5,0.39,0.73,0.3,0.99
695,1.0,0.2,0.51,0.58,0.58,0.2,0.18
972,0.0,0.41,0.48,0.16,0.02,0.2,0.2
260,0.0,0.29,0.49,0.21,0.29,0.1,0.98
786,0.0,0.15,0.48,0.05,0.05,0.1,0.03
491,0.0,0.05,0.48,0.05,0.17,0.1,0.23
325,0.0,0.04,0.49,0.11,0.05,0.0,0.0
440,1.0,0.14,0.5,0.46,0.68,0.1,1.0
943,0.0,0.14,0.49,0.12,0.06,0.1,0.85
1092,0.0,0.09,0.48,0.01,0.03,0.0,0.7
151,0.0,0.04,0.48,0.03,0.03,0.0,0.12
11,0.0,0.32,0.5,0.23,0.2,0.4,0.9
927,0.0,0.18,0.49,0.19,0.16,0.1,0.0
522,0.0,0.12,0.48,0.05,0.04,0.1,0.75
344,0.0,0.02,0.47,0.0,0.01,0.0,0.0
524,0.0,0.09,0.48,0.07,0.03,0.0,0.0
529,0.0,0.02,0.47,0.01,0.01,0.0,0.0
1168,0.0,0.42,0.5,0.32,0.63,0.2,1.0
521,0.0,0.11,0.48,0.06,0.04,0.0,0.54
916,0.0,0.05,0.47,0.01,0.01,0.0,0.0
804,0.0,0.05,0.47,0.01,0.01,0.0,0.0
931,0.0,0.13,0.49,0.17,0.14,0.0,0.0
296,1.0,0.53,0.5,0.41,0.29,0.3,0.98
847,0.0,0.1,0.48,0.04,0.07,0.1,0.0
802,0.0,0.07,0.31,0.02,0.04,0.0,0.71
1317,0.0,0.37,0.49,0.31,0.31,0.3,0.99
1063,0.0,0.06,0.48,0.02,0.03,0.0,0.03
142,0.0,0.17,0.49,0.05,0.28,0.2,0.97
544,0.0,0.2,0.48,0.45,0.29,0.1,0.0
509,0.0,0.06,0.32,0.01,0.02,0.0,0.0
716,0.0,0.04,0.46,0.01,0.0,0.0,0.0
660,1.0,0.36,0.5,0.75,0.34,0.0,0.91
249,0.0,0.06,0.48,0.02,0.05,0.2,0.0
1055,0.0,0.04,0.47,0.1,0.07,0.1,0.0
1028,0.0,0.39,0.49,0.21,0.11,0.2,0.49
976,0.0,0.27,0.51,0.16,0.15,0.1,0.0
678,0.0,0.23,0.5,0.32,0.04,0.1,0.18
245,0.0,0.09,0.48,0.07,0.1,0.1,0.0
1420,0.0,0.09,0.48,0.01,0.01,0.1,0.14
1416,0.0,0.04,0.47,0.01,0.01,0.0,0.0
415,1.0,0.26,0.49,0.39,0.23,0.3,1.0
22,0.0,0.12,0.48,0.05,0.02,0.0,0.0
35,0.0,0.05,0.47,0.01,0.0,0.0,0.01
741,0.0,0.07,0.48,0.1,0.02,0.0,0.0
572,0.0,0.1,0.49,0.08,0.14,0.2,0.0
1041,0.0,0.08,0.49,0.05,0.04,0.1,0.7
8,0.0,0.16,0.49,0.06,0.08,0.1,0.0
1228,0.0,0.08,0.48,0.02,0.09,0.0,1.0
264,1.0,0.32,0.5,0.27,0.37,0.4,0.98
259,1.0,0.19,0.5,0.43,0.56,0.4,1.0
1209,0.0,0.1,0.32,0.02,0.01,0.0,0.0
635,0.0,0.09,0.48,0.05,0.02,0.0,0.0
789,1.0,0.05,0.48,0.03,0.12,0.2,0.04
796,1.0,0.28,0.48,0.08,0.12,0.2,0.93
