index,Target,RandomForestClassifier,AdaBoostClassifier,GradientBoostingClassifier,LogisticRegression,KNeighborsClassifier,GaussianNB
2836,0.0,0.42,0.5,0.51,0.36,0.57,0.73
1834,1.0,0.48,0.51,0.63,0.41,0.65,0.99
950,1.0,0.48,0.5,0.52,0.41,0.7,0.99
1254,0.0,0.09,0.46,0.04,0.06,0.04,0.0
3454,0.0,0.27,0.48,0.19,0.32,0.61,0.51
1816,0.0,0.3,0.49,0.27,0.2,0.43,0.07
1813,0.0,0.51,0.52,0.74,0.49,0.39,0.79
2262,1.0,0.75,0.51,0.84,0.71,0.87,0.99
5296,0.0,0.05,0.46,0.05,0.04,0.09,0.0
1933,0.0,0.02,0.45,0.04,0.09,0.0,0.01
1925,0.0,0.02,0.46,0.03,0.03,0.0,0.0
6824,1.0,0.3,0.49,0.29,0.25,0.39,0.95
1430,0.0,0.02,0.45,0.03,0.07,0.04,0.0
3121,1.0,0.32,0.49,0.32,0.28,0.57,0.93
2744,0.0,0.13,0.47,0.12,0.13,0.04,0.0
5445,0.0,0.06,0.46,0.05,0.08,0.04,0.0
6299,0.0,0.03,0.46,0.06,0.05,0.04,0.0
4369,1.0,0.49,0.5,0.46,0.42,0.3,0.82
6229,0.0,0.02,0.44,0.03,0.03,0.04,0.0
687,1.0,0.55,0.5,0.62,0.38,0.48,0.98
3529,0.0,0.65,0.52,0.84,0.69,0.39,1.0
6579,0.0,0.02,0.43,0.02,0.01,0.04,0.0
4027,1.0,0.29,0.49,0.27,0.37,0.52,0.82
3259,0.0,0.57,0.5,0.37,0.52,0.65,0.97
3471,0.0,0.02,0.45,0.02,0.04,0.0,0.0
6063,0.0,0.02,0.43,0.01,0.01,0.0,0.0
1285,1.0,0.69,0.51,0.68,0.77,0.43,1.0
1901,0.0,0.02,0.46,0.07,0.08,0.0,0.01
485,0.0,0.12,0.45,0.05,0.06,0.09,0.0
5911,0.0,0.25,0.48,0.19,0.3,0.3,0.11
6715,0.0,0.66,0.5,0.62,0.69,0.57,0.98
4254,1.0,0.34,0.49,0.31,0.38,0.22,0.66
1542,0.0,0.03,0.44,0.02,0.02,0.0,0.0
2759,0.0,0.24,0.49,0.29,0.17,0.13,0.03
2524,0.0,0.01,0.42,0.0,0.0,0.04,0.0
7042,0.0,0.15,0.46,0.06,0.04,0.09,0.0
2642,1.0,0.4,0.5,0.39,0.36,0.35,0.83
1228,0.0,0.38,0.49,0.41,0.39,0.48,0.54
2636,0.0,0.06,0.46,0.06,0.05,0.04,0.0
1031,0.0,0.16,0.48,0.17,0.2,0.43,0.04
6461,0.0,0.31,0.49,0.31,0.32,0.35,0.75
1057,1.0,0.45,0.5,0.42,0.57,0.3,0.93
810,1.0,0.21,0.49,0.28,0.21,0.22,0.04
5220,0.0,0.05,0.45,0.03,0.05,0.04,0.0
5000,0.0,0.33,0.49,0.25,0.3,0.35,0.83
8,1.0,0.51,0.5,0.55,0.55,0.43,0.65
5952,0.0,0.13,0.48,0.19,0.27,0.09,0.08
120,0.0,0.19,0.49,0.28,0.22,0.35,0.03
4600,0.0,0.09,0.46,0.04,0.05,0.04,0.0
2720,1.0,0.24,0.49,0.34,0.32,0.39,0.93
6385,1.0,0.7,0.52,0.81,0.76,0.61,0.92
1960,0.0,0.22,0.48,0.17,0.24,0.17,0.04
3256,0.0,0.09,0.46,0.03,0.02,0.09,0.0
1359,1.0,0.75,0.51,0.73,0.76,0.7,0.99
1597,0.0,0.12,0.46,0.08,0.08,0.09,0.0
2596,0.0,0.11,0.47,0.09,0.16,0.3,0.07
4306,0.0,0.32,0.49,0.33,0.3,0.3,0.02
6084,0.0,0.45,0.5,0.49,0.54,0.39,0.87
2117,0.0,0.01,0.42,0.01,0.01,0.0,0.0
3041,0.0,0.49,0.51,0.6,0.38,0.3,0.82
5540,1.0,0.28,0.49,0.2,0.18,0.13,0.01
5404,0.0,0.12,0.48,0.14,0.15,0.22,0.03
2657,0.0,0.2,0.48,0.16,0.27,0.22,0.8
5480,0.0,0.55,0.51,0.58,0.45,0.43,0.98
5196,0.0,0.25,0.48,0.23,0.17,0.26,0.06
288,1.0,0.6,0.5,0.61,0.64,0.61,1.0
5346,0.0,0.03,0.45,0.03,0.02,0.04,0.0
3663,0.0,0.65,0.5,0.54,0.72,0.78,0.99
4160,0.0,0.11,0.46,0.07,0.08,0.17,0.0
1045,0.0,0.49,0.5,0.53,0.44,0.39,0.3
701,0.0,0.43,0.49,0.39,0.42,0.57,0.94
6156,0.0,0.38,0.49,0.29,0.48,0.35,0.98
3412,0.0,0.1,0.46,0.07,0.05,0.04,0.0
4982,1.0,0.2,0.49,0.25,0.25,0.3,0.23
115,0.0,0.38,0.5,0.47,0.47,0.43,0.18
4728,0.0,0.03,0.44,0.02,0.02,0.09,0.0
303,0.0,0.02,0.45,0.02,0.02,0.0,0.0
6823,0.0,0.3,0.49,0.34,0.3,0.3,0.68
4701,0.0,0.65,0.51,0.66,0.72,0.57,0.99
3799,1.0,0.1,0.47,0.06,0.11,0.13,0.05
5632,0.0,0.01,0.43,0.01,0.01,0.0,0.0
1065,1.0,0.29,0.49,0.31,0.49,0.04,0.8
807,0.0,0.18,0.46,0.05,0.05,0.17,0.0
30,0.0,0.05,0.45,0.03,0.03,0.04,0.0
3401,0.0,0.01,0.44,0.01,0.01,0.0,0.0
2384,0.0,0.45,0.5,0.41,0.45,0.65,0.96
150,0.0,0.32,0.49,0.29,0.38,0.39,0.43
2646,0.0,0.04,0.46,0.03,0.04,0.13,0.0
6052,0.0,0.03,0.45,0.03,0.02,0.13,0.0
2668,1.0,0.3,0.49,0.25,0.18,0.26,0.02
573,1.0,0.25,0.48,0.2,0.18,0.52,0.04
784,0.0,0.04,0.45,0.03,0.03,0.04,0.0
4035,0.0,0.18,0.49,0.26,0.23,0.13,0.04
4294,0.0,0.23,0.48,0.27,0.36,0.17,0.44
2305,0.0,0.42,0.5,0.42,0.49,0.52,0.38
6116,0.0,0.05,0.47,0.12,0.08,0.0,0.01
5816,0.0,0.46,0.49,0.39,0.34,0.48,0.94
5924,0.0,0.0,0.43,0.0,0.01,0.0,0.0
6566,0.0,0.08,0.46,0.04,0.04,0.09,0.0
3102,1.0,0.28,0.48,0.26,0.18,0.22,0.24
4708,0.0,0.03,0.44,0.01,0.02,0.09,0.0
4335,0.0,0.54,0.5,0.48,0.64,0.65,1.0
2457,0.0,0.21,0.48,0.2,0.2,0.3,0.36
1915,0.0,0.16,0.48,0.14,0.2,0.3,0.75
472,0.0,0.39,0.5,0.39,0.52,0.61,0.89
608,0.0,0.03,0.44,0.03,0.02,0.0,0.0
1796,0.0,0.21,0.49,0.29,0.35,0.48,0.66
6481,0.0,0.59,0.5,0.47,0.49,0.61,0.76
3544,1.0,0.35,0.5,0.38,0.43,0.26,0.62
3794,0.0,0.35,0.49,0.25,0.38,0.43,0.78
2789,0.0,0.4,0.49,0.37,0.58,0.52,0.97
1654,0.0,0.19,0.47,0.14,0.1,0.04,0.0
3033,0.0,0.12,0.47,0.08,0.07,0.09,0.0
4776,0.0,0.56,0.5,0.66,0.62,0.65,0.99
5948,0.0,0.04,0.45,0.01,0.01,0.04,0.0
3929,0.0,0.07,0.47,0.08,0.06,0.17,0.02
4658,0.0,0.29,0.49,0.21,0.31,0.39,0.92
152,0.0,0.15,0.48,0.13,0.1,0.09,0.0
6688,0.0,0.03,0.44,0.02,0.03,0.04,0.0
2990,1.0,0.42,0.49,0.39,0.53,0.52,0.93
3969,0.0,0.71,0.51,0.71,0.61,0.7,0.91
3743,1.0,0.31,0.49,0.3,0.22,0.22,0.28
6507,1.0,0.16,0.49,0.2,0.19,0.26,0.02
4706,1.0,0.52,0.51,0.55,0.45,0.39,0.98
1581,0.0,0.23,0.48,0.16,0.3,0.3,0.4
3573,0.0,0.15,0.46,0.07,0.09,0.13,0.0
2304,0.0,0.21,0.47,0.14,0.11,0.22,0.01
4858,0.0,0.04,0.45,0.02,0.02,0.0,0.0
6458,0.0,0.34,0.49,0.27,0.27,0.35,0.36
4655,0.0,0.09,0.47,0.1,0.14,0.35,0.07
4780,0.0,0.5,0.49,0.36,0.53,0.61,0.97
3461,0.0,0.13,0.47,0.07,0.05,0.09,0.01
6137,1.0,0.25,0.48,0.21,0.17,0.26,0.18
5562,0.0,0.25,0.49,0.32,0.23,0.26,0.75
3183,1.0,0.62,0.5,0.58,0.65,0.7,0.98
4543,0.0,0.03,0.45,0.02,0.02,0.0,0.0
5472,0.0,0.14,0.48,0.15,0.17,0.22,0.01
3690,1.0,0.27,0.48,0.25,0.43,0.35,0.64
2272,0.0,0.69,0.51,0.62,0.39,0.57,0.82
609,1.0,0.28,0.49,0.32,0.22,0.22,0.11
1192,1.0,0.7,0.51,0.63,0.73,0.52,0.98
4903,1.0,0.72,0.51,0.72,0.73,0.43,0.99
4857,0.0,0.26,0.48,0.16,0.28,0.39,0.67
6548,0.0,0.16,0.47,0.08,0.11,0.13,0.04
6758,0.0,0.08,0.46,0.07,0.12,0.0,0.09
3140,0.0,0.48,0.5,0.48,0.48,0.57,0.94
3756,1.0,0.59,0.51,0.62,0.54,0.39,0.93
554,1.0,0.4,0.49,0.34,0.43,0.39,0.9
3942,1.0,0.55,0.51,0.64,0.42,0.57,0.98
2774,0.0,0.28,0.48,0.18,0.26,0.3,0.66
6008,0.0,0.03,0.46,0.07,0.09,0.09,0.0
694,0.0,0.01,0.46,0.05,0.1,0.35,0.08
410,1.0,0.75,0.51,0.76,0.74,0.7,1.0
1955,0.0,0.46,0.5,0.46,0.4,0.43,0.42
2919,0.0,0.18,0.45,0.04,0.06,0.39,0.0
2309,0.0,0.13,0.46,0.06,0.08,0.13,0.0
5778,0.0,0.2,0.49,0.22,0.18,0.17,0.07
3597,0.0,0.33,0.49,0.36,0.51,0.35,0.76
173,1.0,0.17,0.48,0.3,0.21,0.3,0.07
6132,0.0,0.18,0.48,0.15,0.12,0.13,0.05
318,1.0,0.5,0.5,0.48,0.65,0.74,0.99
3496,0.0,0.31,0.48,0.2,0.27,0.22,0.48
3768,0.0,0.32,0.49,0.29,0.26,0.3,0.73
5170,0.0,0.36,0.49,0.27,0.2,0.3,0.08
4356,0.0,0.19,0.48,0.16,0.19,0.3,0.07
6383,0.0,0.02,0.44,0.02,0.04,0.04,0.0
1891,1.0,0.5,0.51,0.55,0.42,0.74,0.99
6571,0.0,0.04,0.45,0.04,0.06,0.22,0.02
1825,0.0,0.21,0.48,0.23,0.25,0.3,0.91
802,0.0,0.02,0.44,0.01,0.03,0.04,0.0
4315,1.0,0.82,0.52,0.79,0.64,0.87,0.98
6819,1.0,0.39,0.5,0.53,0.37,0.48,0.93
2578,1.0,0.4,0.5,0.53,0.48,0.35,0.69
1095,0.0,0.83,0.52,0.84,0.72,0.83,0.99
1732,0.0,0.33,0.48,0.24,0.17,0.48,0.06
6654,1.0,0.7,0.51,0.66,0.74,0.61,0.99
414,0.0,0.41,0.49,0.33,0.32,0.35,0.96
3864,1.0,0.55,0.5,0.57,0.61,0.61,0.96
3423,1.0,0.23,0.5,0.36,0.25,0.22,0.27
455,0.0,0.59,0.5,0.59,0.64,0.61,0.93
2370,0.0,0.1,0.46,0.05,0.04,0.04,0.0
3587,1.0,0.67,0.51,0.75,0.78,0.61,1.0
1753,0.0,0.05,0.44,0.03,0.03,0.04,0.0
540,0.0,0.04,0.44,0.04,0.03,0.04,0.0
645,1.0,0.61,0.51,0.63,0.74,0.74,1.0
6785,1.0,0.15,0.46,0.06,0.07,0.17,0.0
