index,Target,RandomForestClassifier,AdaBoostClassifier,GradientBoostingClassifier,LogisticRegression,KNeighborsClassifier,GaussianNB
1892,0.0,0.1,0.49,0.13,0.11,0.04,0.67
4747,0.0,0.03,0.47,0.01,0.02,0.0,0.02
2517,0.0,0.13,0.49,0.09,0.09,0.13,0.8
4178,0.0,0.04,0.48,0.04,0.05,0.0,0.24
3395,0.0,0.03,0.48,0.02,0.03,0.09,0.02
3129,0.0,0.09,0.49,0.14,0.08,0.13,0.29
4364,0.0,0.03,0.48,0.02,0.02,0.0,0.01
4751,0.0,0.05,0.48,0.06,0.05,0.04,0.25
4026,0.0,0.12,0.49,0.08,0.09,0.04,0.79
2561,0.0,0.04,0.48,0.03,0.05,0.0,0.3
5875,0.0,0.03,0.48,0.01,0.06,0.0,0.53
710,0.0,0.06,0.49,0.1,0.05,0.04,0.62
198,0.0,0.04,0.48,0.03,0.05,0.0,0.18
6329,0.0,0.03,0.47,0.01,0.06,0.0,0.5
1195,0.0,0.04,0.48,0.03,0.05,0.04,0.32
4107,0.0,0.09,0.49,0.08,0.07,0.09,0.7
5843,0.0,0.03,0.48,0.01,0.06,0.0,0.55
4977,0.0,0.03,0.38,0.01,0.04,0.04,0.0
318,1.0,0.1,0.49,0.29,0.08,0.13,0.66
5787,0.0,0.03,0.47,0.01,0.06,0.0,0.51
5951,0.0,0.03,0.47,0.01,0.06,0.0,0.51
6008,0.0,0.03,0.47,0.01,0.06,0.0,0.51
1581,0.0,0.05,0.49,0.06,0.07,0.0,0.03
2654,0.0,0.05,0.48,0.04,0.05,0.04,0.48
3076,0.0,0.03,0.48,0.02,0.02,0.0,0.0
2410,0.0,0.04,0.49,0.04,0.04,0.0,0.0
4091,0.0,0.04,0.47,0.05,0.05,0.04,0.28
3148,0.0,0.07,0.49,0.19,0.04,0.0,0.37
446,0.0,0.1,0.49,0.15,0.07,0.17,0.78
6277,0.0,0.03,0.47,0.01,0.06,0.0,0.5
4728,0.0,0.04,0.48,0.06,0.04,0.0,0.03
3929,0.0,0.04,0.48,0.04,0.03,0.09,0.11
79,0.0,0.06,0.49,0.05,0.08,0.0,0.21
5049,0.0,0.05,0.48,0.02,0.03,0.04,0.03
1040,0.0,0.05,0.48,0.03,0.06,0.04,0.4
4433,0.0,0.04,0.48,0.03,0.05,0.0,0.51
4288,1.0,0.11,0.49,0.08,0.09,0.09,0.78
572,0.0,0.12,0.49,0.39,0.07,0.04,0.74
5355,0.0,0.03,0.48,0.01,0.06,0.0,0.51
5093,0.0,0.07,0.48,0.06,0.08,0.09,0.5
4359,0.0,0.03,0.48,0.01,0.03,0.0,0.01
1506,0.0,0.05,0.48,0.03,0.05,0.0,0.0
4923,0.0,0.11,0.49,0.13,0.08,0.17,0.76
3188,0.0,0.04,0.48,0.05,0.02,0.04,0.12
1819,0.0,0.04,0.48,0.01,0.05,0.13,0.08
2998,0.0,0.09,0.49,0.09,0.06,0.04,0.71
2146,0.0,0.06,0.49,0.02,0.07,0.04,0.23
2549,0.0,0.09,0.49,0.14,0.08,0.09,0.73
6247,0.0,0.03,0.47,0.01,0.06,0.0,0.5
4131,0.0,0.03,0.48,0.01,0.02,0.04,0.04
5530,0.0,0.03,0.38,0.01,0.04,0.0,0.0
4334,0.0,0.05,0.49,0.08,0.07,0.22,0.59
58,0.0,0.17,0.48,0.25,0.16,0.04,0.5
2924,0.0,0.04,0.48,0.02,0.05,0.04,0.34
4350,0.0,0.03,0.38,0.04,0.02,0.04,0.0
463,0.0,0.06,0.49,0.11,0.05,0.04,0.49
6076,0.0,0.03,0.47,0.01,0.06,0.0,0.51
4497,0.0,0.03,0.48,0.04,0.03,0.0,0.08
4341,0.0,0.03,0.29,0.01,0.03,0.0,0.0
6027,0.0,0.03,0.47,0.01,0.06,0.0,0.51
2422,0.0,0.03,0.46,0.03,0.02,0.0,0.0
747,0.0,0.05,0.49,0.12,0.06,0.09,0.53
1665,0.0,0.07,0.49,0.06,0.06,0.04,0.71
5934,0.0,0.03,0.47,0.01,0.06,0.0,0.51
2290,0.0,0.03,0.48,0.02,0.03,0.0,0.04
3877,0.0,0.04,0.49,0.07,0.03,0.0,0.01
3113,0.0,0.04,0.48,0.04,0.04,0.04,0.04
78,0.0,0.06,0.48,0.08,0.07,0.04,0.4
3799,0.0,0.04,0.48,0.06,0.05,0.09,0.44
2418,0.0,0.03,0.47,0.01,0.01,0.0,0.0
1146,0.0,0.06,0.48,0.03,0.07,0.04,0.64
917,1.0,0.11,0.49,0.12,0.05,0.09,0.74
5015,0.0,0.05,0.48,0.03,0.07,0.04,0.59
3976,0.0,0.04,0.48,0.05,0.04,0.09,0.24
3039,0.0,0.09,0.49,0.06,0.07,0.13,0.29
5241,0.0,0.05,0.48,0.03,0.07,0.04,0.5
371,0.0,0.04,0.49,0.06,0.02,0.0,0.01
5637,0.0,0.03,0.48,0.02,0.05,0.04,0.24
4726,0.0,0.06,0.48,0.05,0.06,0.04,0.65
4968,0.0,0.09,0.49,0.03,0.07,0.13,0.23
4354,0.0,0.05,0.48,0.03,0.04,0.09,0.49
1545,0.0,0.03,0.47,0.01,0.02,0.0,0.05
4166,0.0,0.05,0.49,0.04,0.06,0.09,0.61
283,0.0,0.06,0.48,0.09,0.04,0.22,0.47
3083,0.0,0.04,0.48,0.03,0.04,0.0,0.46
5242,0.0,0.05,0.48,0.07,0.06,0.09,0.0
712,0.0,0.04,0.48,0.03,0.03,0.0,0.02
432,0.0,0.07,0.49,0.22,0.05,0.0,0.62
4141,0.0,0.03,0.48,0.01,0.03,0.04,0.35
358,0.0,0.03,0.48,0.02,0.02,0.0,0.0
5321,0.0,0.06,0.48,0.04,0.07,0.09,0.54
2067,0.0,0.11,0.49,0.11,0.13,0.04,0.71
1611,0.0,0.03,0.38,0.02,0.01,0.0,0.0
42,0.0,0.07,0.39,0.06,0.09,0.04,0.24
2046,0.0,0.16,0.49,0.15,0.12,0.3,0.79
2619,0.0,0.06,0.48,0.03,0.05,0.04,0.43
4651,0.0,0.04,0.48,0.02,0.02,0.0,0.0
4067,0.0,0.03,0.47,0.01,0.01,0.0,0.0
5106,0.0,0.03,0.47,0.03,0.03,0.0,0.09
5027,0.0,0.03,0.48,0.02,0.04,0.04,0.0
5570,0.0,0.03,0.37,0.01,0.05,0.0,0.01
1815,0.0,0.03,0.48,0.01,0.01,0.04,0.0
6061,0.0,0.03,0.47,0.01,0.06,0.0,0.51
5288,0.0,0.03,0.48,0.02,0.05,0.04,0.05
4908,0.0,0.03,0.48,0.03,0.02,0.04,0.0
6096,0.0,0.03,0.47,0.01,0.06,0.0,0.51
2079,0.0,0.14,0.49,0.13,0.13,0.09,0.8
1433,0.0,0.1,0.49,0.05,0.09,0.0,0.62
4952,0.0,0.04,0.49,0.07,0.03,0.04,0.0
438,1.0,0.13,0.49,0.33,0.08,0.17,0.35
3073,0.0,0.05,0.49,0.06,0.07,0.13,0.27
305,0.0,0.1,0.49,0.16,0.06,0.17,0.78
774,0.0,0.18,0.49,0.32,0.1,0.26,0.82
6147,0.0,0.03,0.47,0.01,0.06,0.0,0.5
2503,0.0,0.04,0.46,0.02,0.02,0.04,0.0
968,0.0,0.06,0.49,0.13,0.05,0.04,0.61
1952,0.0,0.17,0.49,0.25,0.12,0.26,0.8
165,0.0,0.1,0.49,0.05,0.2,0.13,0.83
4434,0.0,0.05,0.48,0.05,0.04,0.0,0.54
2540,0.0,0.03,0.48,0.02,0.03,0.04,0.15
2964,0.0,0.05,0.48,0.02,0.03,0.04,0.35
3319,0.0,0.13,0.49,0.2,0.09,0.26,0.82
4914,0.0,0.04,0.48,0.01,0.06,0.0,0.57
4081,0.0,0.06,0.49,0.05,0.07,0.04,0.62
385,0.0,0.05,0.49,0.16,0.05,0.04,0.14
2557,0.0,0.04,0.49,0.06,0.03,0.0,0.09
6145,0.0,0.03,0.47,0.01,0.06,0.0,0.5
5415,0.0,0.03,0.47,0.01,0.06,0.0,0.5
864,0.0,0.05,0.48,0.08,0.04,0.0,0.32
3805,1.0,0.05,0.48,0.03,0.04,0.09,0.52
625,0.0,0.09,0.49,0.08,0.11,0.09,0.87
127,0.0,0.12,0.49,0.07,0.13,0.09,0.62
6035,0.0,0.03,0.47,0.01,0.06,0.0,0.51
2504,0.0,0.04,0.46,0.01,0.03,0.09,0.13
925,0.0,0.17,0.49,0.34,0.1,0.39,0.82
459,0.0,0.08,0.49,0.09,0.05,0.09,0.71
5155,0.0,0.03,0.47,0.01,0.06,0.0,0.5
3837,0.0,0.06,0.48,0.05,0.05,0.09,0.43
4675,0.0,0.03,0.48,0.03,0.03,0.04,0.08
2621,0.0,0.05,0.48,0.06,0.04,0.04,0.18
4093,0.0,0.12,0.49,0.09,0.09,0.13,0.78
2914,0.0,0.07,0.49,0.03,0.07,0.0,0.68
1650,0.0,0.06,0.49,0.06,0.04,0.09,0.0
5722,0.0,0.03,0.47,0.01,0.06,0.0,0.51
1218,0.0,0.08,0.41,0.07,0.15,0.09,0.96
424,0.0,0.15,0.5,0.37,0.1,0.04,0.8
4717,0.0,0.03,0.47,0.01,0.01,0.0,0.0
3623,0.0,0.03,0.48,0.01,0.03,0.0,0.11
849,0.0,0.04,0.48,0.02,0.03,0.0,0.0
6290,0.0,0.03,0.47,0.01,0.06,0.0,0.5
753,0.0,0.04,0.48,0.03,0.03,0.04,0.13
2851,0.0,0.03,0.48,0.02,0.02,0.0,0.04
1689,0.0,0.1,0.49,0.33,0.09,0.13,0.73
2803,0.0,0.04,0.48,0.02,0.04,0.04,0.29
4411,0.0,0.04,0.47,0.04,0.03,0.09,0.3
4180,0.0,0.04,0.48,0.03,0.03,0.22,0.11
3293,0.0,0.09,0.49,0.11,0.08,0.17,0.14
3928,0.0,0.05,0.48,0.07,0.05,0.0,0.52
3440,0.0,0.06,0.48,0.07,0.06,0.26,0.63
4821,0.0,0.04,0.46,0.01,0.02,0.0,0.0
4368,0.0,0.05,0.48,0.04,0.06,0.04,0.6
1144,0.0,0.03,0.47,0.02,0.03,0.0,0.04
4819,0.0,0.04,0.48,0.04,0.04,0.0,0.37
5190,0.0,0.05,0.48,0.04,0.07,0.09,0.45
3605,0.0,0.03,0.48,0.01,0.03,0.04,0.07
4780,0.0,0.04,0.48,0.02,0.03,0.09,0.04
2219,0.0,0.04,0.48,0.03,0.05,0.04,0.06
1563,0.0,0.08,0.49,0.11,0.05,0.09,0.68
1732,0.0,0.05,0.49,0.07,0.05,0.13,0.63
4023,0.0,0.05,0.48,0.02,0.04,0.09,0.53
49,0.0,0.07,0.38,0.11,0.09,0.0,0.22
2454,0.0,0.1,0.49,0.08,0.1,0.0,0.65
5508,0.0,0.02,0.38,0.01,0.02,0.0,0.0
218,0.0,0.04,0.48,0.03,0.03,0.09,0.31
1139,0.0,0.06,0.48,0.02,0.08,0.13,0.59
6185,0.0,0.03,0.47,0.01,0.06,0.0,0.5
4204,0.0,0.03,0.29,0.01,0.02,0.04,0.0
1192,0.0,0.05,0.48,0.12,0.05,0.04,0.45
4078,0.0,0.03,0.48,0.03,0.04,0.0,0.26
6189,0.0,0.03,0.47,0.01,0.06,0.0,0.5
5413,0.0,0.03,0.38,0.01,0.04,0.0,0.0
374,0.0,0.04,0.48,0.03,0.02,0.09,0.32
5270,1.0,0.02,0.47,0.0,0.02,0.0,0.0
2249,0.0,0.06,0.48,0.04,0.08,0.17,0.11
3292,0.0,0.11,0.42,0.24,0.13,0.09,0.96
4467,0.0,0.05,0.48,0.03,0.06,0.04,0.47
6228,0.0,0.03,0.47,0.01,0.06,0.0,0.5
5273,0.0,0.03,0.48,0.01,0.06,0.04,0.49
4621,0.0,0.06,0.48,0.12,0.06,0.04,0.59
644,0.0,0.18,0.49,0.38,0.1,0.26,0.82
3850,0.0,0.03,0.47,0.01,0.02,0.0,0.23
130,0.0,0.04,0.46,0.03,0.08,0.0,0.0
4323,0.0,0.08,0.49,0.08,0.06,0.09,0.75
6064,0.0,0.03,0.47,0.01,0.06,0.0,0.51
2746,0.0,0.08,0.48,0.08,0.1,0.0,0.6
263,0.0,0.04,0.48,0.03,0.02,0.04,0.03
4868,0.0,0.03,0.47,0.03,0.02,0.0,0.0
1190,0.0,0.04,0.48,0.02,0.03,0.0,0.0
1413,0.0,0.06,0.48,0.04,0.08,0.04,0.52
2008,0.0,0.08,0.49,0.05,0.07,0.0,0.5
4732,0.0,0.06,0.48,0.05,0.07,0.04,0.66
3753,0.0,0.03,0.48,0.03,0.02,0.0,0.0
1196,0.0,0.03,0.48,0.01,0.03,0.0,0.09
3442,0.0,0.04,0.48,0.02,0.02,0.13,0.0
1217,1.0,0.05,0.48,0.03,0.04,0.09,0.45
4951,0.0,0.04,0.48,0.02,0.04,0.09,0.28
1302,1.0,0.17,0.49,0.25,0.11,0.26,0.82
2289,0.0,0.04,0.48,0.02,0.04,0.0,0.29
2884,0.0,0.05,0.48,0.02,0.05,0.04,0.56
2006,0.0,0.12,0.49,0.08,0.1,0.13,0.79
